
Name                                     DisplayName                                                                        State   StartType DelayedAutoSta
PolicyAgent                              IPsec Policy Agent                                                                 Stopped Manual             False
KtmRm                                    KtmRm for Distributed Transaction Coordinator                                      Stopped Manual             False
LxpSvc                                   Language Experience Service                                                        Stopped Manual             False
lltdsvc                                  Link-Layer Topology Discovery Mapper                                               Stopped Manual             False
wlpasvc                                  Local Profile Assistant Service                                                    Stopped Manual             False
LSM                                      Local Session Manager                                                              Running Auto               False
McpManagementService                     McpManagementService                                                               Stopped Manual             False
MessagingService_5a94f                   MessagingService_5a94f                                                             Stopped Manual             False
diagnosticshub.standardcollector.service Microsoft (R) Diagnostics Hub Standard Collector Service                           Stopped Manual             False
wlidsvc                                  Microsoft Account Sign-in Assistant                                                Stopped Manual             False
AppVClient                               Microsoft App-V Client                                                             Stopped Disabled           False
cloudidsvc                               Microsoft Cloud Identity Service                                                   Stopped Manual             False
WdNisSvc                                 Microsoft Defender Antivirus Network Inspection Service                            Running Manual             False
WinDefend                                Microsoft Defender Antivirus Service                                               Running Auto               False
MicrosoftEdgeElevationService            Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)                   Stopped Manual             False
edgeupdate                               Microsoft Edge Update Service (edgeupdate)                                         Stopped Auto                True
edgeupdatem                              Microsoft Edge Update Service (edgeupdatem)                                        Stopped Manual              True
MSiSCSI                                  Microsoft iSCSI Initiator Service                                                  Stopped Manual             False
MsKeyboardFilter                         Microsoft Keyboard Filter                                                          Stopped Disabled           False
NgcSvc                                   Microsoft Passport                                                                 Stopped Manual             False
NgcCtnrSvc                               Microsoft Passport Container                                                       Stopped Manual             False
swprv                                    Microsoft Software Shadow Copy Provider                                            Stopped Manual             False
smphost                                  Microsoft Storage Spaces SMP                                                       Stopped Manual             False
InstallService                           Microsoft Store Install Service                                                    Stopped Manual             False
uhssvc                                   Microsoft Update Health Service                                                    Stopped Disabled           False
SmsRouter                                Microsoft Windows SMS Router Service.                                              Stopped Manual             False
NaturalAuthentication                    Natural Authentication                                                             Stopped Manual             False
NetTcpPortSharing                        Net.Tcp Port Sharing Service                                                       Stopped Disabled           False
Netlogon                                 Netlogon                                                                           Stopped Manual             False
NcdAutoSetup                             Network Connected Devices Auto-Setup                                               Stopped Manual             False
NcbService                               Network Connection Broker                                                          Running Manual             False
Netman                                   Network Connections                                                                Stopped Manual             False
NcaSvc                                   Network Connectivity Assistant                                                     Stopped Manual             False
netprofm                                 Network List Service                                                               Running Manual             False
NlaSvc                                   Network Location Awareness                                                         Stopped Manual             False
NetSetupSvc                              Network Setup Service                                                              Stopped Manual             False
nsi                                      Network Store Interface Service                                                    Running Auto               False
NPSMSvc_5a94f                            NPSMSvc_5a94f                                                                      Running Manual             False
CscService                               Offline Files                                                                      Stopped Manual             False
ssh-agent                                OpenSSH Authentication Agent                                                       Stopped Disabled           False
defragsvc                                Optimize drives                                                                    Stopped Manual             False
P9RdrService_5a94f                       P9RdrService_5a94f                                                                 Stopped Manual             False
WpcMonSvc                                Parental Controls                                                                  Stopped Manual             False
SEMgrSvc                                 Payments and NFC/SE Manager                                                        Stopped Manual             False
PNRPsvc                                  Peer Name Resolution Protocol                                                      Stopped Manual             False
p2psvc                                   Peer Networking Grouping                                                           Stopped Manual             False
p2pimsvc                                 Peer Networking Identity Manager                                                   Stopped Manual             False
PenService_5a94f                         PenService_5a94f                                                                   Stopped Manual             False
PerfHost                                 Performance Counter DLL Host                                                       Stopped Manual             False
pla                                      Performance Logs & Alerts                                                          Stopped Manual             False
PhoneSvc                                 Phone Service                                                                      Stopped Manual             False
PlugPlay                                 Plug and Play                                                                      Running Manual             False
PNRPAutoReg                              PNRP Machine Name Publication Service                                              Stopped Manual             False
WPDBusEnum                               Portable Device Enumerator Service                                                 Stopped Manual             False
Power                                    Power                                                                              Running Auto               False
Spooler                                  Print Spooler                                                                      Running Auto               False
PrintNotify                              Printer Extensions and Notifications                                               Stopped Manual             False
PrintWorkflowUserSvc_5a94f               PrintWorkflow_5a94f                                                                Stopped Manual             False
wercplsupport                            Problem Reports Control Panel Support                                              Stopped Manual             False
PcaSvc                                   Program Compatibility Assistant Service                                            Running Auto                True
QWAVE                                    Quality Windows Audio Video Experience                                             Stopped Manual             False
RmSvc                                    Radio Management Service                                                           Running Manual             False
TroubleshootingSvc                       Recommended Troubleshooting Service                                                Stopped Manual             False
RasAuto                                  Remote Access Auto Connection Manager                                              Stopped Manual             False
RasMan                                   Remote Access Connection Manager                                                   Stopped Manual             False
SessionEnv                               Remote Desktop Configuration                                                       Stopped Manual             False
TermService                              Remote Desktop Services                                                            Stopped Manual             False
UmRdpService                             Remote Desktop Services UserMode Port Redirector                                   Stopped Manual             False
RpcSs                                    Remote Procedure Call (RPC)                                                        Running Auto               False
RpcLocator                               Remote Procedure Call (RPC) Locator                                                Stopped Manual             False
RemoteRegistry                           Remote Registry                                                                    Stopped Disabled           False
RetailDemo                               Retail Demo Service                                                                Stopped Manual             False
RemoteAccess                             Routing and Remote Access                                                          Stopped Disabled           False
RpcEptMapper                             RPC Endpoint Mapper                                                                Running Auto               False
seclogon                                 Secondary Logon                                                                    Stopped Manual             False
SstpSvc                                  Secure Socket Tunneling Protocol Service                                           Stopped Manual             False
SamSs                                    Security Accounts Manager                                                          Running Auto               False
wscsvc                                   Security Center                                                                    Running Auto                True
SensorDataService                        Sensor Data Service                                                                Stopped Manual             False
SensrSvc                                 Sensor Monitoring Service                                                          Stopped Manual             False
SensorService                            Sensor Service                                                                     Stopped Manual             False
LanmanServer                             Server                                                                             Running Auto               False
shpamsvc                                 Shared PC Account Manager                                                          Stopped Disabled           False
ShellHWDetection                         Shell Hardware Detection                                                           Running Auto               False
SCardSvr                                 Smart Card                                                                         Stopped Manual             False
